payment_id,date,amount_paid,payment_method,partner
P00121,2022-05-01,3088.49,Cash,Partner Z
P00122,2022-05-02,4960.74,Bank Transfer,Partner W
P00123,2022-05-03,4682.13,Bank Transfer,Partner W
P00124,2022-05-04,4787.31,Bank Transfer,Partner Y
P00125,2022-05-05,728.09,Credit Card,Partner Z
P00126,2022-05-06,757.09,Bank Transfer,Partner X
P00127,2022-05-07,1029.65,Bank Transfer,Partner X
P00128,2022-05-08,3256.29,Cash,Partner Y
P00129,2022-05-09,2119.5,Cash,Partner Y
P00130,2022-05-10,3870.17,PayPal,Partner X
P00131,2022-05-11,2483.16,Bank Transfer,Partner Z
P00132,2022-05-12,3184.75,Credit Card,Partner W
P00133,2022-05-13,1120.12,Bank Transfer,Partner Y
P00134,2022-05-14,3255.86,PayPal,Partner Z
P00135,2022-05-15,1447.46,Credit Card,Partner Z
P00136,2022-05-16,3658.7,PayPal,Partner Y
P00137,2022-05-17,1291.46,Cash,Partner Z
P00138,2022-05-18,1066.79,Credit Card,Partner Y
P00139,2022-05-19,3317.24,Cash,Partner Y
P00140,2022-05-20,1426.93,Cash,Partner Z
P00141,2022-05-21,3985.26,PayPal,Partner W
P00142,2022-05-22,1831.95,PayPal,Partner X
P00143,2022-05-23,4587.57,Credit Card,Partner W
P00144,2022-05-24,2991.19,Bank Transfer,Partner W
P00145,2022-05-25,1453.87,Bank Transfer,Partner X
P00146,2022-05-26,1917.04,Cash,Partner Z
P00147,2022-05-27,2846.17,Credit Card,Partner W
P00148,2022-05-28,1506.34,Cash,Partner X
P00149,2022-05-29,2807.39,PayPal,Partner W
P00150,2022-05-30,2016.35,Bank Transfer,Partner W
P00151,2022-05-31,1866.38,Bank Transfer,Partner X
P00152,2022-06-01,1923.79,Cash,Partner Y
P00153,2022-06-02,2342.04,Credit Card,Partner X
P00154,2022-06-03,4060.78,PayPal,Partner X
P00155,2022-06-04,2105.9,PayPal,Partner Z
P00156,2022-06-05,2493.59,Cash,Partner Z
P00157,2022-06-06,2442.91,PayPal,Partner Y
P00158,2022-06-07,2081.22,Credit Card,Partner X
P00159,2022-06-08,806.49,Credit Card,Partner Z
P00160,2022-06-09,1240.94,PayPal,Partner Z
P00161,2022-06-10,1421.31,Cash,Partner W
P00162,2022-06-11,1792.94,PayPal,Partner Z
P00163,2022-06-12,3222.47,PayPal,Partner Y
P00164,2022-06-13,536.67,PayPal,Partner X
P00165,2022-06-14,3691.47,PayPal,Partner Z
P00166,2022-06-15,2796.0,Cash,Partner X
P00167,2022-06-16,2369.08,Cash,Partner W
P00168,2022-06-17,601.63,Bank Transfer,Partner W
P00169,2022-06-18,1679.94,PayPal,Partner X
P00170,2022-06-19,2828.39,PayPal,Partner Y
P00171,2022-06-20,1371.17,Bank Transfer,Partner X
P00172,2022-06-21,1439.62,Cash,Partner Z
P00173,2022-06-22,3780.65,Credit Card,Partner Z
P00174,2022-06-23,3958.5,Bank Transfer,Partner X
P00175,2022-06-24,1633.86,Bank Transfer,Partner X
P00176,2022-06-25,2884.82,PayPal,Partner X
P00177,2022-06-26,2988.08,Bank Transfer,Partner W
P00178,2022-06-27,4320.12,PayPal,Partner W
P00179,2022-06-28,3659.87,Cash,Partner W
P00180,2022-06-29,4327.88,Bank Transfer,Partner W
P00181,2022-06-30,4081.94,PayPal,Partner Z
P00182,2022-07-01,3364.64,Credit Card,Partner X
P00183,2022-07-02,4738.62,PayPal,Partner X
P00184,2022-07-03,593.0,Credit Card,Partner Y
P00185,2022-07-04,3861.1,PayPal,Partner Z
P00186,2022-07-05,2497.96,Cash,Partner Z
P00187,2022-07-06,3784.96,Cash,Partner W
P00188,2022-07-07,3773.6,PayPal,Partner X
P00189,2022-07-08,4761.41,Bank Transfer,Partner Z
P00190,2022-07-09,3113.42,Credit Card,Partner W
P00191,2022-07-10,2559.28,Bank Transfer,Partner X
P00192,2022-07-11,1305.57,PayPal,Partner Y
P00193,2022-07-12,1782.99,PayPal,Partner Y
P00194,2022-07-13,3297.61,PayPal,Partner X
P00195,2022-07-14,730.01,Cash,Partner Z
P00196,2022-07-15,2146.53,PayPal,Partner Z
P00197,2022-07-16,4843.68,PayPal,Partner W
P00198,2022-07-17,2286.36,Credit Card,Partner Y
P00199,2022-07-18,1692.91,Bank Transfer,Partner W
P00200,2022-07-19,4099.76,PayPal,Partner X
P00201,2022-07-20,1100.46,Bank Transfer,Partner X
P00202,2022-07-21,2699.11,Bank Transfer,Partner Y
P00203,2022-07-22,3658.5,Bank Transfer,Partner Z
P00204,2022-07-23,2125.05,PayPal,Partner X
P00205,2022-07-24,4379.03,Credit Card,Partner Y
P00206,2022-07-25,1134.26,Credit Card,Partner W
P00207,2022-07-26,1654.98,Bank Transfer,Partner W
P00208,2022-07-27,2673.25,Credit Card,Partner Y
P00209,2022-07-28,1228.68,Credit Card,Partner Z
P00210,2022-07-29,2180.97,Credit Card,Partner Y
P00211,2022-07-30,2746.7,Credit Card,Partner W
P00212,2022-07-31,1718.23,Credit Card,Partner X
P00213,2022-08-01,3593.45,Bank Transfer,Partner Z
P00214,2022-08-02,2122.38,PayPal,Partner Z
P00215,2022-08-03,4333.81,Credit Card,Partner X
P00216,2022-08-04,606.12,PayPal,Partner Y
P00217,2022-08-05,4167.91,PayPal,Partner Z
P00218,2022-08-06,1209.86,Bank Transfer,Partner Z
P00219,2022-08-07,2831.48,Cash,Partner W
P00220,2022-08-08,3797.45,PayPal,Partner X
P00221,2022-08-09,1917.16,Cash,Partner Z
P00222,2022-08-10,4877.05,Bank Transfer,Partner W
P00223,2022-08-11,4990.02,Credit Card,Partner Y
P00224,2022-08-12,719.33,PayPal,Partner X
P00225,2022-08-13,2294.21,Credit Card,Partner Y
P00226,2022-08-14,2642.07,PayPal,Partner W
P00227,2022-08-15,4360.97,Bank Transfer,Partner W
P00228,2022-08-16,4020.62,PayPal,Partner Y
P00229,2022-08-17,1149.69,Cash,Partner X
P00230,2022-08-18,4808.89,Bank Transfer,Partner Y
P00231,2022-08-19,3720.57,Bank Transfer,Partner X
P00232,2022-08-20,2598.89,Bank Transfer,Partner X
P00233,2022-08-21,1710.23,Bank Transfer,Partner X
P00234,2022-08-22,3479.97,Bank Transfer,Partner W
P00235,2022-08-23,3673.84,PayPal,Partner Z
P00236,2022-08-24,2832.76,Credit Card,Partner W
P00237,2022-08-25,3480.43,Bank Transfer,Partner X
P00238,2022-08-26,2708.28,PayPal,Partner Y
P00239,2022-08-27,927.42,Credit Card,Partner W
P00240,2022-08-28,4001.67,Bank Transfer,Partner W
P00241,2022-08-29,3938.68,Credit Card,Partner X
P00242,2022-08-30,2397.97,Credit Card,Partner W
P00243,2022-08-31,4080.89,PayPal,Partner Y
P00244,2022-09-01,1391.22,PayPal,Partner Z
P00245,2022-09-02,2182.61,Credit Card,Partner X
P00246,2022-09-03,4501.19,Credit Card,Partner Y
P00247,2022-09-04,4255.51,PayPal,Partner X
P00248,2022-09-05,571.46,PayPal,Partner Z
P00249,2022-09-06,3422.86,Bank Transfer,Partner Y
P00250,2022-09-07,2266.92,Bank Transfer,Partner Y
P00251,2022-09-08,2058.45,Bank Transfer,Partner X
P00252,2022-09-09,3882.5,PayPal,Partner Z
P00253,2022-09-10,2393.59,Credit Card,Partner Y
P00254,2022-09-11,1538.81,Cash,Partner X
P00255,2022-09-12,1107.49,Credit Card,Partner W
P00256,2022-09-13,4289.07,PayPal,Partner X
P00257,2022-09-14,2961.11,PayPal,Partner Y
P00258,2022-09-15,3568.57,Cash,Partner W
P00259,2022-09-16,1123.91,PayPal,Partner X
P00260,2022-09-17,4782.72,Cash,Partner Y
P00261,2022-09-18,4068.22,Cash,Partner Y
P00262,2022-09-19,1954.49,Credit Card,Partner X
P00263,2022-09-20,1748.11,Credit Card,Partner X
P00264,2022-09-21,4858.17,Bank Transfer,Partner X
P00265,2022-09-22,2954.47,Cash,Partner X
P00266,2022-09-23,1855.48,Credit Card,Partner Z
P00267,2022-09-24,3683.15,Credit Card,Partner X
P00268,2022-09-25,1738.16,Credit Card,Partner Y
P00269,2022-09-26,3664.63,Credit Card,Partner X
P00270,2022-09-27,1424.62,Bank Transfer,Partner Z
P00271,2022-09-28,2144.33,PayPal,Partner W
P00272,2022-09-29,955.24,Credit Card,Partner Z
P00273,2022-09-30,3061.81,Cash,Partner X
P00274,2022-10-01,4380.34,Credit Card,Partner W
P00275,2022-10-02,4120.04,Cash,Partner W
P00276,2022-10-03,1538.64,Cash,Partner X
P00277,2022-10-04,3871.06,Credit Card,Partner Z
P00278,2022-10-05,2326.21,Bank Transfer,Partner X
P00279,2022-10-06,4982.49,Credit Card,Partner Z
P00280,2022-10-07,2060.81,Bank Transfer,Partner Y
P00281,2022-10-08,3787.05,Credit Card,Partner Y
P00282,2022-10-09,1388.26,Cash,Partner Z
P00283,2022-10-10,4876.79,Credit Card,Partner Z
P00284,2022-10-11,3151.45,Credit Card,Partner W
P00285,2022-10-12,2056.61,Bank Transfer,Partner X
P00286,2022-10-13,2245.13,Bank Transfer,Partner Z
P00287,2022-10-14,1135.32,Cash,Partner W
P00288,2022-10-15,2953.8,Bank Transfer,Partner X
P00289,2022-10-16,2595.94,Credit Card,Partner Z
P00290,2022-10-17,2118.88,Bank Transfer,Partner Y
P00291,2022-10-18,2342.06,Bank Transfer,Partner Z
P00292,2022-10-19,3421.42,Bank Transfer,Partner Z
P00293,2022-10-20,2516.62,Bank Transfer,Partner Z
P00294,2022-10-21,3696.12,PayPal,Partner X
P00295,2022-10-22,1388.21,Bank Transfer,Partner X
P00296,2022-10-23,3652.23,PayPal,Partner W
P00297,2022-10-24,1626.07,PayPal,Partner Z
P00298,2022-10-25,4571.39,Bank Transfer,Partner W
P00299,2022-10-26,4018.19,Bank Transfer,Partner W
P00300,2022-10-27,2971.53,Bank Transfer,Partner X
P00301,2022-10-28,2426.74,Credit Card,Partner X
P00302,2022-10-29,1880.08,Credit Card,Partner Z
P00303,2022-10-30,2953.87,Bank Transfer,Partner Y
P00304,2022-10-31,1746.18,PayPal,Partner Z
P00305,2022-11-01,4484.26,PayPal,Partner X
P00306,2022-11-02,1283.9,Bank Transfer,Partner X
P00307,2022-11-03,3385.48,Cash,Partner Z
P00308,2022-11-04,1920.74,Cash,Partner Z
P00309,2022-11-05,3082.75,Credit Card,Partner Y
P00310,2022-11-06,1290.14,Cash,Partner Z
P00311,2022-11-07,3746.66,Bank Transfer,Partner Y
P00312,2022-11-08,3486.05,Credit Card,Partner X
P00313,2022-11-09,4600.44,Credit Card,Partner Y
P00314,2022-11-10,576.49,Bank Transfer,Partner X
P00315,2022-11-11,2752.31,Credit Card,Partner W
P00316,2022-11-12,1874.77,Cash,Partner Y
P00317,2022-11-13,2185.5,Cash,Partner Y
P00318,2022-11-14,2312.31,Cash,Partner Y
P00319,2022-11-15,4783.85,PayPal,Partner X
P00320,2022-11-16,3285.64,Bank Transfer,Partner Y
P00321,2022-11-17,2640.49,Cash,Partner Y
P00322,2022-11-18,1120.05,PayPal,Partner Y
P00323,2022-11-19,4111.95,Cash,Partner Y
P00324,2022-11-20,4737.49,Cash,Partner X
P00325,2022-11-21,4709.74,Credit Card,Partner Z
P00326,2022-11-22,3150.75,PayPal,Partner W
P00327,2022-11-23,889.78,Bank Transfer,Partner W
P00328,2022-11-24,1672.88,Cash,Partner Z
P00329,2022-11-25,3030.59,Cash,Partner W
P00330,2022-11-26,3918.53,Credit Card,Partner Y
P00331,2022-11-27,1981.47,Cash,Partner W
P00332,2022-11-28,3152.43,Credit Card,Partner Z
P00333,2022-11-29,1236.64,Bank Transfer,Partner W
P00334,2022-11-30,992.83,PayPal,Partner Y
P00335,2022-12-01,2904.16,PayPal,Partner Z
P00336,2022-12-02,1918.83,PayPal,Partner X
P00337,2022-12-03,2261.85,Bank Transfer,Partner Z
P00338,2022-12-04,3301.81,PayPal,Partner Y
P00339,2022-12-05,2073.16,Cash,Partner X
P00340,2022-12-06,4108.94,PayPal,Partner Z
P00341,2022-12-07,4184.83,Cash,Partner X
P00342,2022-12-08,866.97,Credit Card,Partner Z
P00343,2022-12-09,1417.11,Cash,Partner Y
P00344,2022-12-10,3158.2,Bank Transfer,Partner X
P00345,2022-12-11,4042.14,Credit Card,Partner W
P00346,2022-12-12,1220.12,PayPal,Partner Y
P00347,2022-12-13,3360.44,Cash,Partner X
P00348,2022-12-14,2659.88,Bank Transfer,Partner Y
P00349,2022-12-15,3365.91,Cash,Partner W
P00350,2022-12-16,713.43,Credit Card,Partner Z
P00351,2022-12-17,4741.4,Bank Transfer,Partner X
P00352,2022-12-18,1878.25,Credit Card,Partner Z
P00353,2022-12-19,2555.6,Cash,Partner W
P00354,2022-12-20,1001.83,PayPal,Partner W
P00355,2022-12-21,3831.3,Credit Card,Partner W
P00356,2022-12-22,986.29,PayPal,Partner Z
P00357,2022-12-23,2717.16,Credit Card,Partner Y
P00358,2022-12-24,2645.75,Credit Card,Partner Y
P00359,2022-12-25,1082.78,Cash,Partner X
P00360,2022-12-26,2930.28,Credit Card,Partner W
P00361,2022-12-27,4500.72,Cash,Partner Z
P00362,2022-12-28,937.73,Credit Card,Partner X
P00363,2022-12-29,4338.48,Credit Card,Partner Y
P00364,2022-12-30,4441.91,Bank Transfer,Partner Y
P00365,2022-12-31,3519.56,Bank Transfer,Partner W
P00366,2022-01-01,1849.04,Credit Card,Partner Z
P00367,2022-01-02,1393.72,Bank Transfer,Partner Z
P00368,2022-01-03,3988.73,Credit Card,Partner Y
P00369,2022-01-04,3447.14,PayPal,Partner Z
P00370,2022-01-05,846.04,PayPal,Partner X
P00371,2022-01-06,1066.84,Bank Transfer,Partner X
P00372,2022-01-07,4574.4,Cash,Partner Y
P00373,2022-01-08,1141.76,PayPal,Partner Y
P00374,2022-01-09,2924.59,PayPal,Partner W
P00375,2022-01-10,3889.52,PayPal,Partner Y
P00376,2022-01-11,4840.05,Cash,Partner Y
P00377,2022-01-12,1297.98,Bank Transfer,Partner Z
P00378,2022-01-13,1600.45,Credit Card,Partner Y
P00379,2022-01-14,2027.45,Credit Card,Partner Y
P00380,2022-01-15,3586.49,PayPal,Partner Y
P00381,2022-01-16,2746.79,Bank Transfer,Partner Y
P00382,2022-01-17,4453.96,Bank Transfer,Partner Z
P00383,2022-01-18,775.14,PayPal,Partner Y
P00384,2022-01-19,1708.11,Credit Card,Partner W
P00385,2022-01-20,670.68,PayPal,Partner W
P00386,2022-01-21,3477.9,Credit Card,Partner W
P00387,2022-01-22,1406.76,Bank Transfer,Partner Z
P00388,2022-01-23,4029.7,PayPal,Partner Y
P00389,2022-01-24,3641.37,Credit Card,Partner W
P00390,2022-01-25,3855.63,Credit Card,Partner W
P00391,2022-01-26,2307.87,Cash,Partner W
P00392,2022-01-27,2990.72,Bank Transfer,Partner Y
P00393,2022-01-28,3895.62,PayPal,Partner W
P00394,2022-01-29,4897.06,Credit Card,Partner Y
P00395,2022-01-30,4341.19,PayPal,Partner X
P00396,2022-01-31,3334.82,PayPal,Partner W
P00397,2022-02-01,1903.08,PayPal,Partner W
P00398,2022-02-02,3615.12,Cash,Partner Y
P00399,2022-02-03,3440.42,Credit Card,Partner Z
P00400,2022-02-04,4114.94,Credit Card,Partner Y
P00401,2022-02-05,2566.58,Cash,Partner X
P00402,2022-02-06,2591.87,PayPal,Partner Y
P00403,2022-02-07,3410.61,Cash,Partner Z
P00404,2022-02-08,1659.85,Cash,Partner Y
P00405,2022-02-09,4191.36,Cash,Partner W
P00406,2022-02-10,2090.53,Credit Card,Partner X
P00407,2022-02-11,2530.2,PayPal,Partner X
P00408,2022-02-12,2024.95,Cash,Partner Y
P00409,2022-02-13,4644.54,Cash,Partner Z
P00410,2022-02-14,4084.35,PayPal,Partner W
P00411,2022-02-15,3509.61,PayPal,Partner Z
P00412,2022-02-16,1863.37,Bank Transfer,Partner Z
P00413,2022-02-17,783.64,Cash,Partner X
P00414,2022-02-18,1961.36,PayPal,Partner W
P00415,2022-02-19,1527.25,PayPal,Partner W
P00416,2022-02-20,3366.33,Bank Transfer,Partner Z
P00417,2022-02-21,2641.12,Bank Transfer,Partner Z
P00418,2022-02-22,1696.81,PayPal,Partner Z
P00419,2022-02-23,3435.94,PayPal,Partner W
P00420,2022-02-24,4618.56,Cash,Partner Z
P00421,2022-02-25,3305.67,Bank Transfer,Partner X
P00422,2022-02-26,3641.06,Cash,Partner W
P00423,2022-02-27,1594.76,PayPal,Partner X
P00424,2022-02-28,1441.56,Credit Card,Partner X
P00425,2022-03-01,4103.13,Bank Transfer,Partner Y
P00426,2022-03-02,2000.33,Credit Card,Partner X
P00427,2022-03-03,2308.5,Credit Card,Partner Z
P00428,2022-03-04,1302.15,Cash,Partner W
P00429,2022-03-05,4169.66,Credit Card,Partner Y
P00430,2022-03-06,4347.89,PayPal,Partner X
P00431,2022-03-07,4342.22,Bank Transfer,Partner W
P00432,2022-03-08,1580.41,Credit Card,Partner Z
P00433,2022-03-09,4604.28,Cash,Partner Y
P00434,2022-03-10,4030.37,Bank Transfer,Partner Z
P00435,2022-03-11,3672.14,Cash,Partner Z
P00436,2022-03-12,683.02,Bank Transfer,Partner Z
P00437,2022-03-13,2690.08,PayPal,Partner W
P00438,2022-03-14,3747.78,Cash,Partner X
P00439,2022-03-15,3872.71,PayPal,Partner X
P00440,2022-03-16,2548.26,Bank Transfer,Partner X
P00441,2022-03-17,3813.39,PayPal,Partner Y
P00442,2022-03-18,759.35,Cash,Partner Y
P00443,2022-03-19,2226.29,Credit Card,Partner Y
P00444,2022-03-20,4944.52,PayPal,Partner W
P00445,2022-03-21,3546.19,Cash,Partner Y
P00446,2022-03-22,4542.68,PayPal,Partner X
P00447,2022-03-23,2011.41,Cash,Partner W
P00448,2022-03-24,2304.91,Cash,Partner X
P00449,2022-03-25,3257.45,PayPal,Partner W
P00450,2022-03-26,4080.25,Bank Transfer,Partner Y
P00451,2022-03-27,1337.94,PayPal,Partner X
P00452,2022-03-28,1850.61,PayPal,Partner Z
P00453,2022-03-29,2460.57,Bank Transfer,Partner W
P00454,2022-03-30,2627.5,Cash,Partner Z
P00455,2022-03-31,4460.58,Credit Card,Partner X
P00456,2022-04-01,2416.89,Credit Card,Partner W
P00457,2022-04-02,1550.27,Bank Transfer,Partner Z
P00458,2022-04-03,4765.45,Bank Transfer,Partner W
P00459,2022-04-04,2842.33,PayPal,Partner W
P00460,2022-04-05,1947.26,Cash,Partner W
P00461,2022-04-06,3565.32,PayPal,Partner Y
P00462,2022-04-07,2455.83,PayPal,Partner Z
P00463,2022-04-08,2580.77,PayPal,Partner X
P00464,2022-04-09,4506.55,Bank Transfer,Partner Y
P00465,2022-04-10,1612.9,Bank Transfer,Partner Y
P00466,2022-04-11,1515.17,Credit Card,Partner X
P00467,2022-04-12,1801.62,Bank Transfer,Partner Y
P00468,2022-04-13,2226.43,Cash,Partner W
P00469,2022-04-14,3779.43,Bank Transfer,Partner Y
P00470,2022-04-15,2059.57,Bank Transfer,Partner W
P00471,2022-04-16,3026.62,Credit Card,Partner Y
P00472,2022-04-17,2283.7,Credit Card,Partner W
P00473,2022-04-18,1283.81,PayPal,Partner Z
P00474,2022-04-19,3427.3,Credit Card,Partner W
P00475,2022-04-20,3096.93,PayPal,Partner Y
P00476,2022-04-21,4717.56,Bank Transfer,Partner Z
P00477,2022-04-22,2487.86,Bank Transfer,Partner Y
P00478,2022-04-23,3061.2,Bank Transfer,Partner X
P00479,2022-04-24,3828.26,Cash,Partner W
P00480,2022-04-25,4744.09,PayPal,Partner X
P00481,2022-04-26,1845.07,Credit Card,Partner Z
P00482,2022-04-27,4787.55,Cash,Partner Y
P00483,2022-04-28,3864.22,Credit Card,Partner Z
P00484,2022-04-29,3983.82,Credit Card,Partner Y
P00485,2022-04-30,3532.46,Bank Transfer,Partner W
P00486,2022-05-01,4423.11,Credit Card,Partner Z
P00487,2022-05-02,4190.8,Credit Card,Partner W
P00488,2022-05-03,3469.75,Bank Transfer,Partner Z
P00489,2022-05-04,1476.68,Bank Transfer,Partner X
P00490,2022-05-05,3715.56,Credit Card,Partner X
P00491,2022-05-06,3663.27,Cash,Partner Z
P00492,2022-05-07,2233.0,PayPal,Partner W
P00493,2022-05-08,2899.07,Credit Card,Partner Z
P00494,2022-05-09,4060.27,PayPal,Partner W
P00495,2022-05-10,4242.25,Cash,Partner X
P00496,2022-05-11,3021.8,Bank Transfer,Partner X
P00497,2022-05-12,3866.06,PayPal,Partner Z
P00498,2022-05-13,2591.58,Credit Card,Partner X
P00499,2022-05-14,2536.25,Cash,Partner Z
P00500,2022-05-15,3356.83,Cash,Partner X
P00501,2022-05-16,1673.44,Bank Transfer,Partner Y
P00502,2022-05-17,2167.8,PayPal,Partner W
P00503,2022-05-18,2835.7,PayPal,Partner Z
P00504,2022-05-19,748.84,Bank Transfer,Partner X
P00505,2022-05-20,4599.94,Bank Transfer,Partner W
P00506,2022-05-21,2407.54,PayPal,Partner W
P00507,2022-05-22,3230.7,Bank Transfer,Partner W
P00508,2022-05-23,4208.21,Cash,Partner W
P00509,2022-05-24,3544.73,Cash,Partner Y
P00510,2022-05-25,4214.55,PayPal,Partner W
P00511,2022-05-26,930.75,Bank Transfer,Partner Z
P00512,2022-05-27,4529.69,Credit Card,Partner X
P00513,2022-05-28,1966.68,Credit Card,Partner Z
